"Population 1. January by municipality and time"

" ","2025"
"Copenhagen",667099
"Frederiksberg",105840
"Dragør",14450
"Tårnby",44034
"Albertslund",28117
"Ballerup",52939
"Brøndby",40401
"Gentofte",75076
"Gladsaxe",70958
"Glostrup",24869
"Herlev",30784
"Hvidovre",53760
"Høje-Taastrup",59059
"Ishøj",24365
"Lyngby-Taarbæk",58713
"Rødovre",44734
"Vallensbæk",18322
"Allerød",26128
"Egedal",45563
"Fredensborg",42186
"Frederikssund",47052
"Furesø",42540
"Gribskov",41797
"Halsnæs",31633
"Helsingør",63953
"Hillerød",54855
"Hørsholm",25168
"Rudersdal",57342
"Bornholm",38966
"Christiansø",90
"Greve",53536
"Køge",63335
"Lejre",29594
"Roskilde",91623
"Solrød",24732
"Faxe",37820
"Guldborgsund",59350
"Holbæk",74490
"Kalundborg",48103
"Lolland",39122
"Næstved",84895
"Odsherred",32225
"Ringsted",36286
"Slagelse",80481
"Sorø",30641
"Stevns",23612
"Vordingborg",45057
"Assens",40469
"Faaborg-Midtfyn",52284
"Kerteminde",23949
"Langeland",11973
"Middelfart",40318
"Nordfyns",29342
"Nyborg",32329
"Odense",210803
"Svendborg",60001
"Ærø",5881
"Billund",27168
"Esbjerg",115157
"Fanø",3270
"Fredericia",52616
"Haderslev",55354
"Kolding",95897
"Sønderborg",74096
"Tønder",36399
"Varde",49410
"Vejen",42702
"Vejle",122433
"Aabenraa",58621
"Favrskov",49359
"Hedensted",48167
"Horsens",97921
"Norddjurs",36658
"Odder",24083
"Randers",100356
"Samsø",3656
"Silkeborg",101574
"Skanderborg",65760
"Syddjurs",44101
"Aarhus",373388
"Herning",90006
"Holstebro",59201
"Ikast-Brande",43009
"Lemvig",18800
"Ringkøbing-Skjern",55582
"Skive",44328
"Struer",20229
"Viborg",97621
"Brønderslev",36706
"Frederikshavn",57882
"Hjørring",63311
"Jammerbugt",37954
"Læsø",1719
"Mariagerfjord",41606
"Morsø",19520
"Rebild",30942
"Thisted",42698
"Vesthimmerlands",35818
"Aalborg",224612

"Cities may be divided across municipality borders. For each "
"municipality, these cities are classified according to the size of "
"the entire city, whereas the number of persons counted under the "
"respective city sizes only includes the persons residing in the "
"respective municipality. "

